paper_idx,arxiv_id,year,total_citations,num_references,paper_age,citations_per_year
2845,706.3062,2007,24,47,18,1.263157894736842
54,704.0269,2007,24,23,18,1.263157894736842
2871,706.3187,2007,24,36,18,1.263157894736842
7505,710.4871,2007,24,11,18,1.263157894736842
6715,710.1192,2007,24,26,18,1.263157894736842
8469,711.2919,2007,24,27,18,1.263157894736842
1565,705.2367,2007,24,39,18,1.263157894736842
1950,705.3977,2007,24,63,18,1.263157894736842
9534,712.2282,2007,24,88,18,1.263157894736842
3778,707.2693,2007,24,39,18,1.263157894736842
1850,705.3508,2007,24,20,18,1.263157894736842
3782,707.2702,2007,24,67,18,1.263157894736842
1854,705.3545,2007,24,57,18,1.263157894736842
1147,705.0548,2007,24,29,18,1.263157894736842
6268,709.3994,2007,24,27,18,1.263157894736842
6233,709.3866,2007,24,31,18,1.263157894736842
1042,705.0133,2007,24,33,18,1.263157894736842
3883,707.3142,2007,24,111,18,1.263157894736842
3887,707.3148,2007,24,23,18,1.263157894736842
6177,709.3679,2007,24,101,18,1.263157894736842
1196,705.078,2007,24,38,18,1.263157894736842
8681,711.401,2007,24,29,18,1.263157894736842
3941,707.3368,2007,24,21,18,1.263157894736842
9455,712.1924,2007,24,56,18,1.263157894736842
5979,709.2861,2007,24,30,18,1.263157894736842
9392,712.1713,2007,24,31,18,1.263157894736842
3556,707.1757,2007,24,38,18,1.263157894736842
8546,711.3265,2007,24,31,18,1.263157894736842
3519,707.159,2007,24,20,18,1.263157894736842
3630,707.2086,2007,24,84,18,1.263157894736842
3606,707.1982,2007,24,20,18,1.263157894736842
1250,705.1022,2007,24,62,18,1.263157894736842
1817,705.338,2007,23,47,18,1.2105263157894737
2973,706.3645,2007,23,58,18,1.2105263157894737
2935,706.3448,2007,23,32,18,1.2105263157894737
4330,708.0413,2007,23,23,18,1.2105263157894737
9335,712.152,2007,23,23,18,1.2105263157894737
3982,707.352,2007,23,31,18,1.2105263157894737
169,704.0756,2007,23,15,18,1.2105263157894737
4308,708.0298,2007,23,14,18,1.2105263157894737
4420,708.0833,2007,23,61,18,1.2105263157894737
9331,712.1508,2007,23,23,18,1.2105263157894737
1865,705.3619,2007,23,39,18,1.2105263157894737
2369,706.1128,2007,23,52,18,1.2105263157894737
2735,706.2615,2007,23,62,18,1.2105263157894737
2531,706.1762,2007,23,18,18,1.2105263157894737
